               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.049399,            0.043288,           0.0017633,              0.9435,             0.91151,             0.96097,             0.59073,            0.046162,            0.031292,            0.001387,            0.004918,            0.004918,            0.004918
                  79,            0.050248,            0.043996,           0.0017283,             0.96372,             0.91511,             0.96666,             0.59757,             0.04521,            0.031245,           0.0013697,            0.004852,            0.004852,            0.004852
                  80,            0.049667,            0.041657,           0.0017688,             0.96783,             0.94687,             0.97321,             0.60564,            0.046587,            0.031087,           0.0012503,            0.004786,            0.004786,            0.004786
                  81,            0.048003,            0.043439,           0.0018616,             0.96889,             0.91883,             0.96884,             0.58835,            0.045937,            0.031585,           0.0015572,             0.00472,             0.00472,             0.00472
                  82,            0.048627,            0.040655,           0.0017751,             0.95265,             0.92497,             0.96651,             0.59915,            0.045204,            0.031313,           0.0013181,            0.004654,            0.004654,            0.004654
                  83,            0.048364,            0.041537,            0.001814,             0.95679,             0.91369,             0.96182,             0.60939,            0.044466,            0.031414,           0.0012468,            0.004588,            0.004588,            0.004588
                  84,            0.048235,            0.043213,           0.0016849,             0.96282,             0.89847,             0.96091,             0.60562,            0.044804,            0.031172,           0.0012778,            0.004522,            0.004522,            0.004522
                  85,             0.04877,            0.042431,           0.0020398,             0.96137,             0.91042,              0.9636,             0.60823,             0.04429,            0.031015,           0.0011677,            0.004456,            0.004456,            0.004456
                  86,            0.048272,            0.042738,           0.0017032,             0.95264,              0.9036,             0.95619,             0.60695,            0.045076,             0.03138,           0.0011633,             0.00439,             0.00439,             0.00439
                  87,            0.047872,            0.041664,           0.0015504,             0.94076,             0.90127,             0.94667,             0.60186,            0.044788,            0.031235,           0.0011716,            0.004324,            0.004324,            0.004324
                  88,            0.048917,            0.040873,           0.0017945,             0.96228,             0.90638,             0.96467,             0.60556,            0.044504,            0.030939,           0.0012623,            0.004258,            0.004258,            0.004258
                  89,            0.047716,            0.042588,            0.001885,             0.93121,             0.93493,             0.95899,             0.59929,            0.044838,            0.031766,           0.0013342,            0.004192,            0.004192,            0.004192
                  90,             0.04793,            0.041367,           0.0014953,             0.91988,             0.92982,             0.95986,             0.60461,            0.044811,            0.031382,            0.001349,            0.004126,            0.004126,            0.004126
